코드	질문	label
122A	기침할 때 소매로 입 가리는거 괜찮아?	40
4A	코로나 검사 어떻게 해?	420
4C	하기도 검체란 어떤거에요?	422
104A	코로나 생활 속 거리두기 알고싶어	8
7A	코로나 검사 대상 	490
118B	집에 코로나 유증상자 있을 때 마스크 써야 됩니까?	30
268A	코로나 바이러스는 어디서 유래했는지 궁금해요	340
107A	손 소독제만 잘 쓰면 코로나 충분하게 예방할 수 있어요?	11
211B	접촉자 추적 공개되는 개인정보들	232
30A	학교가 있는 동네에 코로나 환자 수가 상당할 때 학교에서는 어떻게 해야해?	375
187B	격리가 해제된 후의 방침은 변경되지 않나요?	178
66B	애완 동물과 확진자 접촉	463
132A	기저질환이 악화되면 아이들을 어떻게 해야하죠?	59
144B	캄보디아 여행하면 조심해야 되는게 뭐죠?	89
169B	코로나 에방 헤모플루 백신	147
131A	우리 아기가 아프면 어떻게 하는게 좋을지 궁금합니다.	58
10B	코로나 선별 검사 결과 양성으로 확진검사도 해야할 때 급여 청구는 어떤 방식으로 진행되나요?	17
194C	자가격리 물품 사용	193
201A	격리해제된 확진자가 다른 확진자와 접촉하면 어떻게 관리 되는건가요?	210
98A	사회적 거리두기 1단계면 어떤 것들을 지켜야해?	522
155C	다른 나라에서도 COVID-19 관련 진료를 받을 수 있나요?	123
243A	확진자가 생활치료센터에 입소한경우 격리입원치료비를 지원받을 수 있는건가요?	283
252A	코로나는 어떻게 치료해야되나요?	308
270A	코로나 바이러스는 무엇인가요?	349
272C	코로나 국내 완치자 수는 몇 명인가요?	354
44B	Corona 전파 경로 	404
194C	자가격리 시 코로나 기간중 물품은 어떻게 관리할까요?	193
172A	코로나 바이러스 검사는 중국 외 국가에서 올때도 실시 하는건가요?	153
188A	코로나 환자의 생활치료센터 입소절차에 대해 알려주세요	179
244A	외국인 코로나 진료비 지원 절차가 어떻게 되나요?	284
215A	어떤 경우에 접촉자가 되는건가요?	238
66C	COVID-19 에 감염된 동물들은 어떻게 걸리게된거에요?	464
137B	아이들에겐 어떻게 말하는게 좋을까요? 코로나가 터졌는데	71
86A	개인 방역 4대 보조 수칙은 어떤게 있죠?	502
236A	담배 피는 사람들이 코로나 걸리면 더 힘들어?	274
152A	크루즈 가려는데 이시국에 힘들까요?	112
96A	이 시국에 어쩔 수 없이 거리두기 불가면 어쩌죠?	520
8B	가래 뽑을 때 장소 	509
163A	일하는 곳에서 코로나 대비법	138
79A	이시국에 강아지 미용 맡겨도 되나요?	488
251A	정부에서 코로나에 확진되면 치료 비용을 지원 해주나요?	305
93A	사람들끼리 모일 때 다 마스크 잘 쓰고 있으면 괜찮죠?	513
1B	상기도 검체가 항상 있어야해?	207
154A	항공기에 확진자가 탑승했을때 특별한 소독절차가 있나요?	117
53B	회사의 코로나 환자와 접촉 없었을 경우 언제 근무 가능?	432
231A	열 없는 사람은 코로나 진단을 어떻게 받나요?	263
224B	코로나 무증상자는 어떻게 질병을 전파를 시키죠?	253
225A	코로나바이러스와 독감의 차이는 무엇인가요?	254
67A	사람이 동물 때문에 코로나 감염이 되는게 가능?	465
42A	코로나-19바이러스랑 독감 바이러스랑 공통점 알고 싶어 	397
273B	다른나라 코로나 사망자	357
77A	야생동물이 코로나 전파해?	485
67A	반려동물 코로나 전파 	465
51A	건물 앞에 설치한 살균 터널이 코로나 방지를 도울 수 있을 까요?	426
268A	코로나가 발발한 지역이 어디인가요?	340
125B	어떤 기저 질환이 코로나 확진 아이들한테서 가장 많이 나타났어요?	45
118C	함께 사는 사람이 발열 증상을 보이는데 어떻게 살아야해요?	31
220A	밀접 접촉자가 되면 무슨일 이 있는건가요?	247
24B	온라인 수업을 들을 수 없는 학생 출석 인정 	296
272B	국내 코로나 사망자 수는 얼마나 되죠?	353
174A	한국으로 오는 중국발 입국자들은 코로나 검사를 어떻게 받나요?	155
25A	원격 수업 시 숙제 확인 못할 때 학생부 기재 방식	327
102A	생활 속 거리 두기와 생활방역의 차이가 무엇인가요?	4
234A	코로나 증상 정보	270
16B	교내에 확진자가 생기면 얼마나 휴교 하나요?	149
18A	단계적 개방으로 집이 없는 아이들은 홈스쿨 출석 금지되나요?	182
252B	코로나 치료를 할 수 있는 약이 나왔나요?	309
69A	이 시국에 강아지 산책 나가도 괜찮을까?	470
195C	자가격리를 위한 했습니다. 징역은 얼마나 되나요?	197
207A	밀접 접촉자 추적 조사	218
136C	마스크는 장애인들도 꼭 써야하나요?	68
49B	소독을 위해 피부에 자외선 쬐도 될까요?	417
9B	열 스캐너로 잠복기 환자 찾을 수 있어?	530
143A	다른 나라에서 출국 시 무슨 절차가 이루어 지나요?	85
0A	10초 동안 숨 참았는데 문제 없네요 covid 19 아니죠?	0
161A	코로나 기간중에 마스크가 필요한 이유를 알려주세요	133
104A	생활 속 거리두기는 어떤거야?	8
10B	응급용 코로나 선별 검사 결과 양성이어서 코로나 확진 검사도 해야하는데 급여 청구 방식 알려주세요 	17
256C	의사와 채취자가 일하는 공간이 다른가요?	317
270A	코로나란?	349
136C	몸이 불편하신 분들도 마스크를 꼭 착용해야하나요?	68
31A	학생 코로나 방지 	377
234C	코로나 증상을 심해지게 하는 기저질환은 무엇이 있나요?	272
281A	열이 나는데 코로나인지 확인해 보고 싶어요	370
150A	중국 여행을 갔다 오게됐을 때 유의사항이 뭐가 있나요?	105
4B	상기도 검체는 뭐에요?	421
86A	개인방역 4대 보조수칙이 뭔지 알려주세요 	502
43D	 4급 암모늄 화합물 소독제 악영향	401
103A	생활 속 거리두기는 어떻게 이루어져 있는거야?	5
74B	말도 감염됨?	482
99F	사회적 거리두기 2.5단계 학원 	528
50A	corona 예방하려면 놀이터도 소독하고 청소해야해?	424
5E	응급인 상황에서 실시한 코로나 선별 검사의 경우 누가 비용을 지불하게 되는거죠?	452
229A	코로나가 폐섬유화에 원인인가요?	259
161B	마스크를 꼭 착용해야 할때에 대해 알려주세요	134
256B	의료진 결정에 정부가 개입할 수 있나요?	316
179B	코로나 기간 중 수유 요령	163
270A	코로나가 무엇인지 궁금해요	349
50B	밖에 소독제 	425
194B	격리중 욕실 사용은 어떻게 해야하나요?	192
66C	코로나 감염 된 동물들은 어쩌다 걸린거에요?	464
49B	손을 소독하려고 자외선을 쏘아도 됩니까?	417
127B	저희 아이가 소아 괴질인거 같은데 어떻게 해야 할까요?	49
187A	변경된 격리 기준으로 격리가 끝난 사람들은 어떻게 관리가 되나요?	177
49B	소독을 위해 손이나 피부에 UV를 쏘아도 되나요?	417
43E	몸에 해로운 소독제 알려줘	402
21B	휴교 결정을 내리는 사람	246
127A	어린이 괴질은 어떤거에요?	48
273D	외국 코로나 감염자 통계	359
154B	확진자 자리는 소독을 하나요?	118
276A	대한민국 유럽 외국가 입국 절차	363
138A	코로나 시대에 우리 애들 건강은 어떻게 지키나요?	72
188B	언제 생활치료센터로 가게 되나요?	180
162A	지역사회 발병에 준비하려면 어떻게하나요?	136
136B	얘기는 마스크 씌우면 안되지 않아요?	67
182B	공동격리 기준에 맞지 않아도 해제 될 수 있나요?	171
5D	증상이 있어 조사를 받아야 하는 상황이라고 신고 한 경우 엑스레이 비용은 누가 부담하나요?	451
128B	자녀와 함께 병원 갈 수 없을 때 어떻게 해야 될까요?	52
82A	지금 살고 있는 요양원에 애완동물이 있는데 괜찮을까?	495
61A	코로나 바이러스에 감염 안되려면 마스크 착용을 해야 하나요?	454
104A	생활속 거리두기란?	8
234B	코로나 환자가 중증환자로 변할 가능성을 알려주세요	271
221A	밀접 접촉자지만 아프진 않습니다 자가격리 안해도 되나요?	248
113C	열이 날 때 얼마 정도 쉬고 밖에 나가야해?	23
32B	학교의 Corona 관련 계획을 위한 CDC의 지침은 어떤게 있나요?	379
77B	야생동물에게 코로나 감염 되지 않기 위해서 어떤 조치 취해야해?	486
24B	온라인 수업에 어쩔 수 없이 참여 하지 못하면 출석은 인정 되나요?	296
208A	코로나 감염자가 되었는데 어떤 추적을 받나요?	222
273B	외국 코로나 사망자 통계	357
26C	수업을 원격으로 할 때 담임 선생님들 출결 처리 방법	348
279A	개소리하지마	366
263A	코로나에서 회복이 가능한가요	331
280A	알려줘서 고마워 챗봇아	369
181A	격리면제서 사후 발급	167
272C	국내 코로나 완치자 숫자가 궁금합니다.	354
127C	소아 다기관염증증후군 위험군에 대해 알려주세요	50
273B	해외 코로나로 죽은 사망자 통계	357
265A	지역사회 감염 뜻	335
88A	같이 쓰는 비누 사용해도 안전해?	504
260A	코로나 벌레	328
77B	야생동물에 의한 코로나 감염 예방 위해 어떤 조치를 취해야 되나요?	486
245A	자가격리 중엔 코로나 아닌 질병에 대해서도 지원을 해주는지 궁금해요	286
276A	유럽을 제외한 국가에서 입국 검역은 어떻게 진행하고 있나요?	363
37A	학생들은 학교가 코로나로 문을 닫으면 수업은 못 듣나요?	386
251C	코로나로 확진되고 지시사항에 협조 하지 않아도 치료비용을 지원 받을수 있나요?	307
273C	해외 코로나 완치자 숫자가 궁금합니다.	358
15A	교내 결근 비율 높을 떄 대처법 	131
257A	코로나블루	318
27B	수행평가를 원격수업 할 떄도 해야해?	368
73C	USDA규제하는 동물 제품	478
268C	코로나와 사스의 유래는 어떻게 다른가요?	342
63A	이 시국에 반려견과 미국에 가도 될까요?	457
248A	입원치료비 지원 대상자	291
144B	동남아 방문 하는데 주의해야하는게 있나요?	89
151B	중국 여행 경보가 뭔가요?	110
51A	건물 출입구에 살균 터널 사용해도 괜찮아요?	426
61A	바이러스 감염을 막기 위해 마스크 착용하는게 도움이 되나?	454
111A	지금 시국에 친구들 만나면 안돼요?	19
6A	코로나 검체 채취 시 표준주의 뜻이 궁금합니다 	471
26A	원격 수업할 때 출석 처리하는 법 알려줘 	346
91A	마스크만으로 코로나 완전한 예방이 가능해?	511
50B	실외 소독제 	425
100A	사회적 거리두기 2단계	2
268A	코로나의 기원은 어디니?	340
232A	코로나에 걸렸으면 폐 후유증이 남나요?	265
143B	다른 나라에서도 체온을 제나요?	86
94D	마스크 세탁해서 다시 사용할 수 있나?	517
45B	기저 질환이 있어서 걱정이 되는데 괜찮겠죠?	407
120A	현실적으로 거리두기 지침 준수 힘들 떄는?	37
200A	확진자 격리해제 헀는데 이제 얼마나 기다려야 출근하나요?	209
258B	지역사회 전파란?	320
247C	렘데시비르가 코로나를 잘 치료할 수 있을까요?	290
180B	양수에서 코로나 바이러스가 살 수 있나요?	166
194C	코로나 격리중에 물품 관리법을 알려주세요	193
250E	코로나로 발생하는 격리입원치료비중 약제료가 있나요?	303
253A	코로나 환자가 본인 금액을 먼저 납입한 경우, 추후에 청구 방법을 알려주세요	310
136A	어린이 마스크	66
251B	어느 정부 기관이 코로나 확진자 치료비를 내주나요?	306
154A	의심환자가 탄 항공기는 따로 또 소독을 하나요?	117
248A	격리 입원 치료비 지원가능한 사람들을 알려주세요	291
24D	녹화 강의일때 출석 체크는 어떻게 하는거지?	298
7B	의사 환자 의미 	491
208C	접촉자가 감염자 이름을 알 수 있나요?	224
73D	FWS는 미국으로 수입되는 생물 및 동물 제품들 중 어떠한 것들을 규제하나요?	479
83A	열 나면 자가격리 하는 사람처럼 관리해야해?	496
78A	어떤 동물들이 코로나에 걸릴 수 있을까?	487
9A	열 스캐너로 corona환자들을 잡아내는게 가능할까요?	529
117A	마스크 집에서도 쓰고 있어야해?	28
4A	코로나 19 검사는 어떻게 진행되나요?	420
242A	코로나 격리치료비와 다른 지원제도의 차이를 알려주세요	282
194D	격리중엔 환경 조성을 어떻게 하는지 알려주세요	194
250E	약제료도 코로나 비용 지원에 포함되는지 알려주세요	303
138A	자녀 건강 지키는 법	72
212A	마스크 썼을 시 밀접 접촉자 여부	234
20A	비상 운영 계획 	226
232B	코로나 바이러스 후유증	266
150B	최근에 후베이성에 방문 했던 외국인들은 입국이 되나요?	106
64B	사냥꾼들은 식품 안전위해 어떤 것들을 지켜야해?	459
158B	소독제를 검증해주는 기관이 있나요?	129
2A	코로나 검사 얼마나 걸려?	373
99D	2.5단계 일 때 애견 카페 이용 가능?	526
144B	싱가폴 방문하는데 주의 해야할 점이 있을까요?	89
63A	코로나 기간에 반려견을 데리고 미국에 갈 수 있을까요?	457
